Vial,individual,Count,Total Area,Average Size,%Area,Mean,corrected area,pixels per um ,Species,Day,Treatment
537,1,4976,46605,9.366,0.749,255,46605,0.10676966,DPSE,7_HighTemp,HighTemp
537,2,8027,94059,11.718,1.512,255,94059,0.085340053,DPSE,7_HighTemp,HighTemp
537,3,7137,170024,23.823,2.733,255,170024,0.041976427,DPSE,7_HighTemp,HighTemp
564,1A,3478,17405,5.004,0.28,255,17405,0.199827636,DPSE,7_HighTemp,HighTemp
564,1B,2521,16310,6.47,0.262,255,16310,0.15456775,DPSE,7_HighTemp,HighTemp
564,2,2643,28892,10.932,0.464,255,28892,0.09147861,DPSE,7_HighTemp,HighTemp
564,3,5822,60287,10.355,0.969,255,60287,0.0965714,DPSE,7_HighTemp,HighTemp
564,4,3047,26551,8.714,0.427,255,26551,0.114760273,DPSE,7_HighTemp,HighTemp
564,5A,2423,34836,14.377,0.56,255,34836,0.069554484,DPSE,7_HighTemp,HighTemp
564,5B,3313,37050,11.183,0.596,255,37050,0.089419703,DPSE,7_HighTemp,HighTemp
564,6,3632,19391,5.339,0.312,255,19391,0.187303388,DPSE,7_HighTemp,HighTemp
564,7,1536,16261,10.587,0.261,255,16261,0.094459135,DPSE,7_HighTemp,HighTemp
564,8,14536,175639,12.083,2.823,255,175639,0.082760662,DPSE,7_HighTemp,HighTemp
785,1,510,7228,14.173,0.116,255,7228,0.070558937,DPSE,2_HighTemp,HighTemp
785,2,359,6954,19.37,0.112,255,6954,0.051624964,DPSE,2_HighTemp,HighTemp
785,3,7167,39476,5.508,0.635,255,39476,0.181553349,DPSE,2_HighTemp,HighTemp
785,4,2747,12447,4.531,0.2,255,12447,0.22069575,DPSE,2_HighTemp,HighTemp
785,5,2832,28026,9.896,0.451,255,28026,0.101049026,DPSE,2_HighTemp,HighTemp
785,6,2867,43380,15.131,0.697,255,43380,0.066090364,DPSE,2_HighTemp,HighTemp
786,1,2524,17602,6.974,0.283,255,17602,0.143392796,DPSE,2_HighTemp,HighTemp
786,2,2251,12510,5.558,0.201,255,12510,0.179936051,DPSE,2_HighTemp,HighTemp
786,3,2503,17440,6.968,0.28,255,17440,0.143520642,DPSE,2_HighTemp,HighTemp
786,4,5433,150156,27.638,2.414,255,150156,0.03618237,DPSE,2_HighTemp,HighTemp
830,1,762,7355,9.652,0.118,255,7355,0.103602991,DPSE,2_Control,Control
830,2,1525,8492,5.569,0.137,255,8492,0.179580782,DPSE,2_Control,Control
830,3,1973,12205,6.186,0.196,255,12205,0.161655059,DPSE,2_Control,Control
830,4,5741,23681,4.125,0.381,255,23681,0.242430641,DPSE,2_Control,Control
830,5,4558,14268,3.13,0.229,255,14268,0.319456126,DPSE,2_Control,Control
830,6,5633,78470,13.93,1.261,255,78470,0.071785396,DPSE,2_Control,Control
830,7,9303,153353,16.484,2.465,255,153353,0.060663958,DPSE,2_Control,Control
830,8,11748,244409,20.804,3.929,255,244409,0.04806697,DPSE,2_Control,Control
833,1,1561,10630,6.81,0.171,255,10630,0.146848542,DPSE,2_Control,Control
833,2,240,7588,31.617,0.122,255,7588,0.031628888,DPSE,2_Control,Control
833,3A,1575,11834,7.514,0.19,255,11834,0.133091093,DPSE,2_Control,Control
833,3B,2578,14634,5.676,0.235,255,14634,0.176165095,DPSE,2_Control,Control
833,4,6896,79257,11.493,1.274,255,79257,0.087008088,DPSE,2_Control,Control
833,5,6154,86990,14.136,1.398,255,86990,0.070743764,DPSE,2_Control,Control
834,1,1146,24432,21.319,0.393,255,24432000,0.046905697,DPSE,7_Control,Control
834,2,3311,45434,13.722,0.73,255,45434,0.072874939,DPSE,7_Control,Control
834,3,949,15651,16.492,0.252,255,15651000,0.060635103,DPSE,7_Control,Control
834,4,1678,35583,21.206,0.572,255,35583,0.04715735,DPSE,7_Control,Control
834,5,9469,162165,17.126,2.607,255,162165,0.058391145,DPSE,7_Control,Control
834,6,3096,44997,14.534,0.723,255,44997000,0.068804587,DPSE,7_Control,Control
834,7,916,14348,15.664,0.231,255,14348000,0.06384165,DPSE,7_Control,Control
834,8,3328,42710,12.834,0.687,255,42710000,0.077920862,DPSE,7_Control,Control
834,9,1969,61361,31.164,0.986,255,61361,0.032088786,DPSE,7_Control,Control
834,10,7882,153642,19.493,2.47,255,153642,0.051301077,DPSE,7_Control,Control
834,11,9231,159107,17.236,2.558,255,159107,0.058017561,DPSE,7_Control,Control
834,12,2447,49688,20.306,0.799,255,49688,0.049247303,DPSE,7_Control,Control
865,1,7689,122945,15.99,1.976,255,122945,0.06254016,DMEL,7_HighTemp,HighTemp
865,2A,3435,72151,21.005,1.16,255,72151,0.047608488,DMEL,7_HighTemp,HighTemp
865,2B,3855,100671,26.114,1.618,255,100671,0.038293054,DMEL,7_HighTemp,HighTemp
865,3,3331,53651,16.107,0.862,255,53651,0.062086448,DMEL,7_HighTemp,HighTemp
865,4,2048,37050,18.091,0.596,255,37050,0.055276653,DMEL,7_HighTemp,HighTemp
865,5A,3911,60481,15.464,0.972,255,60481,0.064664936,DMEL,7_HighTemp,HighTemp
865,5B,1682,35420,21.058,0.569,255,35420,0.047487295,DMEL,7_HighTemp,HighTemp
865,6,7189,162943,22.666,2.619,255,162943,0.044119723,DMEL,7_HighTemp,HighTemp
866,1,1604,50772,31.653,0.816,255,50772000,0.031592216,DMEL,7_HighTemp,HighTemp
866,2,1960,23229,11.852,0.373,255,23229000,0.084377287,DMEL,7_HighTemp,HighTemp
866,3,1323,26256,19.846,0.422,255,26256,0.050388483,DMEL,7_HighTemp,HighTemp
866,4,2259,30606,13.548,0.492,255,30606000,0.073809057,DMEL,7_HighTemp,HighTemp
866,5,3012,43586,14.471,0.701,255,43586000,0.069104758,DMEL,7_HighTemp,HighTemp
866,6,2741,35462,12.938,0.57,255,35462000,0.077294005,DMEL,7_HighTemp,HighTemp
1007,1,927,17282,18.643,0.278,255,17282000,0.053639625,DMEL,7_Control,Control
1007,2,4233,63605,15.026,1.022,255,63605000,0.066551372,DMEL,7_Control,Control
1007,3,2273,59429,26.146,0.955,255,59429000,0.03824732,DMEL,7_Control,Control
1007,4,3376,42706,12.65,0.687,255,42706000,0.079052124,DMEL,7_Control,Control
1007,5,2528,33327,13.183,0.536,255,33327000,0.075854412,DMEL,7_Control,Control
1007,6,2695,42898,15.918,0.69,255,42898000,0.062823442,DMEL,7_Control,Control
1007,7,2548,38499,15.109,0.619,255,38499000,0.066183537,DMEL,7_Control,Control
1009,1,3123,45030,14.419,0.724,255,45030000,0.069353764,DMEL,7_Control,Control
1243,1,3947,92485,23.432,1.487,255,92485,0.042677191,DMEL,2_HighTemp,HighTemp
1243,2,1573,13954,8.871,0.224,255,13954000,0.112727533,DMEL,2_HighTemp,HighTemp
1243,3,3891,72951,18.749,1.173,255,72951,0.053337172,DMEL,2_HighTemp,HighTemp
1243,4,4709,100542,21.351,1.616,255,100542,0.046836148,DMEL,2_HighTemp,HighTemp
1243,5,2153,71375,33.151,1.147,255,71375,0.030164623,DMEL,2_HighTemp,HighTemp
1243,6,6146,109759,17.859,1.764,255,109759,0.055995408,DMEL,2_HighTemp,HighTemp
1243,7,5909,142707,24.151,2.294,255,142707,0.041406518,DMEL,2_HighTemp,HighTemp
1244,1,1003,32907,32.809,0.529,255,32907,0.030479837,DMEL,2_HighTemp,HighTemp
1247,1,5927,55621,9.384,0.894,255,55621,0.106560472,DMEL,2_Control,Control
1247,2,1834,25759,14.045,0.414,255,25759,0.071198416,DMEL,2_Control,Control
1247,3A,4852,57341,11.818,0.922,255,57341,0.084616592,DMEL,2_Control,Control
1247,3B,3116,65281,20.95,1.049,255,65281,0.047732112,DMEL,2_Control,Control
1247,4,8767,122826,14.01,1.974,255,122826,0.071377396,DMEL,2_Control,Control
1248,1,6670,132490,19.864,2.13,255,132490,0.050343422,DMEL,2_Control,Control
1248,2,2873,55041,19.158,0.885,255,55041,0.052197453,DMEL,2_Control,Control
1248,3,321,4013,12.502,0.065,255,4013,0.079990032,DMEL,2_Control,Control